application,dataset_seed,infrastructure,task,security_threshold,eligible_candidates,latency_feasible,security_feasible,witness_found,witness_cost,ac_pool_domain_size,local_budget_quantile,local_budget,min_eligible_cost,global_budget_factor,global_budget_slack,cheapest_eligible_binding_cost,global_budget,norm_cost_min,norm_cost_max,norm_latency_min,norm_latency_max,norm_security_min,norm_security_max
arOrch,146588263,infrastructure_50,fLogin,1.0,33,True,True,True,24.5574795,30,0.75,32.03485725,24.5574795,,,,,,,,,,
arOrch,146588263,infrastructure_50,fCrop,0.66,5,True,True,True,35.57114344,5,0.75,76.22292978,35.57114344,,,,,,,,,,
arOrch,146588263,infrastructure_50,fGeo,0.66,86,True,True,True,9.62567923,30,0.75,24.65581241,9.62567923,,,,,,,,,,
arOrch,146588263,infrastructure_50,fDCC,1.0,9,True,True,True,20.98417438,30,0.75,27.9612704,20.98417438,,,,,,,,,,
arOrch,146588263,infrastructure_50,fCheckDCC,1.0,36,True,True,True,38.37106172,11,0.75,50.05446445,38.37106172,,,,,,,,,,
arOrch,146588263,infrastructure_50,fRules,1.0,56,True,True,True,29.37100829,16,0.75,56.3112725,29.37100829,,,,,,,,,,
arOrch,146588263,infrastructure_50,fAR,1.0,5,True,True,True,58.22121925,5,0.75,76.22292978,58.22121925,,,,,,,,,,
arOrch,146588263,infrastructure_50,__global__,,,,,True,,,,,,1.5,0.25,182.83073081,209.69321513,26.24010544,406.46271036,0.0,599.28,0.33,1.0
arOrch,146588263,infrastructure_55,fLogin,1.0,24,True,True,True,25.65487219,38,0.75,35.60949129,25.65487219,,,,,,,,,,
arOrch,146588263,infrastructure_55,fCrop,0.66,7,True,True,True,29.50677809,7,0.75,60.77829017,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_55,fGeo,0.66,118,True,True,True,8.80109929,38,0.75,25.65487219,8.80109929,,,,,,,,,,
arOrch,146588263,infrastructure_55,fDCC,1.0,8,True,True,True,24.1741669,38,0.75,32.52291923,24.1741669,,,,,,,,,,
arOrch,146588263,infrastructure_55,fCheckDCC,1.0,24,True,True,True,42.4274159,9,0.75,55.63983014,42.4274159,,,,,,,,,,
arOrch,146588263,infrastructure_55,fRules,1.0,60,True,True,True,20.8726153,16,0.75,60.53170286,20.8726153,,,,,,,,,,
arOrch,146588263,infrastructure_55,fAR,1.0,7,True,True,True,35.57114344,7,0.75,60.77829017,35.57114344,,,,,,,,,,
arOrch,146588263,infrastructure_55,__global__,,,,,True,,,,,,1.5,0.25,155.35807551,184.87596402,25.94182308,386.29427646,0.0,599.135,0.33,1.0
arOrch,146588263,infrastructure_60,fLogin,1.0,32,True,True,True,18.92881454,42,0.75,35.45667795,18.92881454,,,,,,,,,,
arOrch,146588263,infrastructure_60,fCrop,0.66,6,True,True,True,29.50677809,6,0.75,58.05264162,29.50677809,,,,,,,,,,
arOrch,146588263,infrastructure_60,fGeo,0.66,105,True,True,True,8.55714615,42,0.75,22.36901632,8.55714615,,,,,,,,,,
arOrch,146588263,infrastructure_60,fDCC,1.0,12,True,True,True,16.17452414,42,0.75,31.57566988,16.17452414,,,,,,,,,,
arOrch,146588263,infrastructure_60,fCheckDCC,1.0,60,True,True,True,29.57627271,12,0.75,53.34243732,29.57627271,,,,,,,,,,
arOrch,146588263,infrastructure_60,fRules,1.0,72,True,True,True,20.66870065,18,0.75,57.52032769,20.66870065,,,,,,,,,,
arOrch,146588263,infrastructure_60,fAR,1.0,6,True,True,True,43.99679571,6,0.75,58.05264162,43.99679571,,,,,,,,,,
arOrch,146588263,infrastructure_60,__global__,,,,,True,,,,,,1.5,0.25,142.28654531,171.94941646,28.46024833,353.2551438,0.0,595.076,0.33,1.0
