application,dataset_seed,infrastructure,infra_size,task,security_threshold,original_considered,non_cloud_candidates,filtered_by_sw,filtered_by_service,cloud_filtered_by_service,filtered_by_security,total_candidates,cloud_candidates,filtered_by_hw
arOrch,146588263,infrastructure_50,50,fLogin,1.0,50,116,17,3,6,0,116,,
arOrch,146588263,infrastructure_50,50,fCrop,0.66,50,8,42,,,0,20,12,
arOrch,146588263,infrastructure_50,50,fGeo,0.66,50,153,17,1,3,0,203,50,
arOrch,146588263,infrastructure_50,50,fDCC,1.0,50,33,17,,,0,69,36,
arOrch,146588263,infrastructure_50,50,fCheckDCC,1.0,50,56,17,,3,0,72,16,19
arOrch,146588263,infrastructure_50,50,fRules,1.0,50,64,13,3,6,0,64,,18
arOrch,146588263,infrastructure_50,50,fAR,1.0,50,8,42,,,0,20,12,
arOrch,146588263,infrastructure_55,55,fLogin,1.0,55,114,14,3,6,0,114,,
arOrch,146588263,infrastructure_55,55,fCrop,0.66,55,10,45,,,0,22,12,
arOrch,146588263,infrastructure_55,55,fGeo,0.66,55,195,14,1,3,0,235,40,
arOrch,146588263,infrastructure_55,55,fDCC,1.0,55,41,14,,,0,77,36,
arOrch,146588263,infrastructure_55,55,fCheckDCC,1.0,55,36,14,,3,0,50,14,29
arOrch,146588263,infrastructure_55,55,fRules,1.0,55,64,15,3,6,0,64,,21
arOrch,146588263,infrastructure_55,55,fAR,1.0,55,10,45,,,0,22,12,
arOrch,146588263,infrastructure_60,60,fLogin,1.0,60,122,15,3,6,0,122,,
arOrch,146588263,infrastructure_60,60,fCrop,0.66,60,9,51,,,0,21,12,
arOrch,146588263,infrastructure_60,60,fGeo,0.66,60,174,15,,3,0,224,50,
arOrch,146588263,infrastructure_60,60,fDCC,1.0,60,45,15,,,0,81,36,
arOrch,146588263,infrastructure_60,60,fCheckDCC,1.0,60,75,15,,3,0,97,22,30
arOrch,146588263,infrastructure_60,60,fRules,1.0,60,72,16,3,6,0,72,,23
arOrch,146588263,infrastructure_60,60,fAR,1.0,60,9,51,,,0,21,12,
arOrch,146588263,infrastructure_65,65,fLogin,1.0,65,87,17,3,6,0,87,,
arOrch,146588263,infrastructure_65,65,fCrop,0.66,65,12,53,,,0,24,12,
arOrch,146588263,infrastructure_65,65,fGeo,0.66,65,321,17,,3,0,381,60,
arOrch,146588263,infrastructure_65,65,fDCC,1.0,65,48,17,,,0,84,36,
arOrch,146588263,infrastructure_65,65,fCheckDCC,1.0,65,60,17,,3,0,80,20,33
arOrch,146588263,infrastructure_65,65,fRules,1.0,65,63,13,3,6,0,63,,28
arOrch,146588263,infrastructure_65,65,fAR,1.0,65,12,53,,,0,24,12,
arOrch,146588263,infrastructure_70,70,fLogin,1.0,70,67,32,4,6,0,67,,
arOrch,146588263,infrastructure_70,70,fCrop,0.66,70,16,54,,,0,28,12,
arOrch,146588263,infrastructure_70,70,fGeo,0.66,70,108,32,1,3,0,153,45,
arOrch,146588263,infrastructure_70,70,fDCC,1.0,70,38,32,,,0,74,36,
arOrch,146588263,infrastructure_70,70,fCheckDCC,1.0,70,42,32,,3,0,58,16,24
arOrch,146588263,infrastructure_70,70,fRules,1.0,70,66,12,4,6,0,66,,32
arOrch,146588263,infrastructure_70,70,fAR,1.0,70,16,54,,,0,28,12,
arOrch,146588263,infrastructure_75,75,fLogin,1.0,75,200,21,4,6,0,200,,
arOrch,146588263,infrastructure_75,75,fCrop,0.66,75,16,59,,,0,28,12,
arOrch,146588263,infrastructure_75,75,fGeo,0.66,75,254,21,1,3,0,304,50,
arOrch,146588263,infrastructure_75,75,fDCC,1.0,75,54,21,,,0,90,36,
arOrch,146588263,infrastructure_75,75,fCheckDCC,1.0,75,45,21,,3,0,59,14,39
arOrch,146588263,infrastructure_75,75,fRules,1.0,75,92,23,4,6,0,92,,25
arOrch,146588263,infrastructure_75,75,fAR,1.0,75,16,59,,,0,28,12,
arOrch,146588263,infrastructure_80,80,fLogin,1.0,80,204,25,4,6,0,204,,
arOrch,146588263,infrastructure_80,80,fCrop,0.66,80,20,60,,,0,32,12,
