dataset_seed,infrastructure,source_pool,target_pool,latency_ms,source,generator_seed
146588263,infrastructure_50,edge1,aws.faas.eu-west-1,24.827,generated,12345
146588263,infrastructure_50,edge1,aws.faas.us-east-1,131.855,generated,12345
146588263,infrastructure_50,edge1,azure.faas.westeurope,45.915,generated,12345
146588263,infrastructure_50,edge1,azure.faas.eastus,121.181,generated,12345
146588263,infrastructure_50,edge1,gcp.faas.europe-west1,28.977,generated,12345
146588263,infrastructure_50,edge1,gcp.faas.us-central1,106.388,generated,12345
146588263,infrastructure_50,edge2,aws.faas.eu-west-1,58.5,generated,12345
146588263,infrastructure_50,edge2,aws.faas.us-east-1,91.565,generated,12345
146588263,infrastructure_50,edge2,azure.faas.westeurope,32.109,generated,12345
146588263,infrastructure_50,edge2,azure.faas.eastus,85.675,generated,12345
146588263,infrastructure_50,edge2,gcp.faas.europe-west1,23.307,generated,12345
146588263,infrastructure_50,edge2,gcp.faas.us-central1,89.634,generated,12345
146588263,infrastructure_50,edge3,aws.faas.eu-west-1,21.201,generated,12345
146588263,infrastructure_50,edge3,aws.faas.us-east-1,109.782,generated,12345
146588263,infrastructure_50,edge3,azure.faas.westeurope,32.363,generated,12345
146588263,infrastructure_50,edge3,azure.faas.eastus,97.168,generated,12345
146588263,infrastructure_50,edge3,gcp.faas.europe-west1,58.317,generated,12345
146588263,infrastructure_50,edge3,gcp.faas.us-central1,133.415,generated,12345
146588263,infrastructure_50,edge4,aws.faas.eu-west-1,48.37,generated,12345
146588263,infrastructure_50,edge4,aws.faas.us-east-1,142.219,generated,12345
146588263,infrastructure_50,edge4,azure.faas.westeurope,55.576,generated,12345
146588263,infrastructure_50,edge4,azure.faas.eastus,93.467,generated,12345
146588263,infrastructure_50,edge4,gcp.faas.europe-west1,54.394,generated,12345
146588263,infrastructure_50,edge4,gcp.faas.us-central1,123.465,generated,12345
146588263,infrastructure_50,edge5,aws.faas.eu-west-1,24.746,generated,12345
146588263,infrastructure_50,edge5,aws.faas.us-east-1,114.82,generated,12345
146588263,infrastructure_50,edge5,azure.faas.westeurope,43.528,generated,12345
146588263,infrastructure_50,edge5,azure.faas.eastus,113.76,generated,12345
146588263,infrastructure_50,edge5,gcp.faas.europe-west1,29.455,generated,12345
146588263,infrastructure_50,edge5,gcp.faas.us-central1,123.869,generated,12345
146588263,infrastructure_50,edge6,aws.faas.eu-west-1,40.126,generated,12345
146588263,infrastructure_50,edge6,aws.faas.us-east-1,111.978,generated,12345
146588263,infrastructure_50,edge6,azure.faas.westeurope,57.806,generated,12345
146588263,infrastructure_50,edge6,azure.faas.eastus,86.961,generated,12345
146588263,infrastructure_50,edge6,gcp.faas.europe-west1,53.749,generated,12345
146588263,infrastructure_50,edge6,gcp.faas.us-central1,120.148,generated,12345
146588263,infrastructure_50,edge7,aws.faas.eu-west-1,48.29,generated,12345
146588263,infrastructure_50,edge7,aws.faas.us-east-1,116.165,generated,12345
146588263,infrastructure_50,edge7,azure.faas.westeurope,20.692,generated,12345
146588263,infrastructure_50,edge7,azure.faas.eastus,97.048,generated,12345
146588263,infrastructure_50,edge7,gcp.faas.europe-west1,27.852,generated,12345
146588263,infrastructure_50,edge7,gcp.faas.us-central1,93.015,generated,12345
146588263,infrastructure_50,edge8,aws.faas.eu-west-1,29.835,generated,12345
146588263,infrastructure_50,edge8,aws.faas.us-east-1,145.514,generated,12345
146588263,infrastructure_50,edge8,azure.faas.westeurope,45.639,generated,12345
146588263,infrastructure_50,edge8,azure.faas.eastus,82.07,generated,12345
146588263,infrastructure_50,edge8,gcp.faas.europe-west1,40.002,generated,12345
146588263,infrastructure_50,edge8,gcp.faas.us-central1,144.469,generated,12345
146588263,infrastructure_50,edge9,aws.faas.eu-west-1,58.685,generated,12345
146588263,infrastructure_50,edge9,aws.faas.us-east-1,125.616,generated,12345
146588263,infrastructure_50,edge9,azure.faas.westeurope,51.175,generated,12345
146588263,infrastructure_50,edge9,azure.faas.eastus,100.041,generated,12345
146588263,infrastructure_50,edge9,gcp.faas.europe-west1,34.363,generated,12345
146588263,infrastructure_50,edge9,gcp.faas.us-central1,148.921,generated,12345
146588263,infrastructure_50,edge10,aws.faas.eu-west-1,23.531,generated,12345
146588263,infrastructure_50,edge10,aws.faas.us-east-1,96.326,generated,12345
146588263,infrastructure_50,edge10,azure.faas.westeurope,41.489,generated,12345
146588263,infrastructure_50,edge10,azure.faas.eastus,123.402,generated,12345
146588263,infrastructure_50,edge10,gcp.faas.europe-west1,36.933,generated,12345
146588263,infrastructure_50,edge10,gcp.faas.us-central1,105.875,generated,12345
146588263,infrastructure_50,edge11,aws.faas.eu-west-1,26.929,generated,12345
146588263,infrastructure_50,edge11,aws.faas.us-east-1,118.045,generated,12345
146588263,infrastructure_50,edge11,azure.faas.westeurope,30.795,generated,12345
146588263,infrastructure_50,edge11,azure.faas.eastus,83.228,generated,12345
146588263,infrastructure_50,edge11,gcp.faas.europe-west1,41.711,generated,12345
146588263,infrastructure_50,edge11,gcp.faas.us-central1,95.148,generated,12345
