dataset_seed,infrastructure,node_id,kind,memory_mb,vcpu,mhz,node_monthly_cost,generator_seed
146588263,infrastructure_50,edge1,edge,1024,4,2500,18.56494495,12345
146588263,infrastructure_50,edge2,edge,1024,4,2500,24.34919442,12345
146588263,infrastructure_50,edge3,edge,1024,4,2500,19.2499325,12345
146588263,infrastructure_50,edge4,edge,512,2,1500,12.54503112,12345
146588263,infrastructure_50,edge5,edge,1024,4,3000,28.91638017,12345
146588263,infrastructure_50,edge6,edge,1024,4,3000,19.25135847,12345
146588263,infrastructure_50,edge7,edge,512,2,1500,10.35219858,12345
146588263,infrastructure_50,edge8,edge,1024,4,2500,20.12252257,12345
146588263,infrastructure_50,edge9,edge,512,2,1500,16.47699446,12345
146588263,infrastructure_50,edge10,edge,512,2,1500,15.28347574,12345
146588263,infrastructure_50,edge11,edge,512,2,1500,15.08381663,12345
146588263,infrastructure_50,edge12,edge,1024,4,3000,20.9063996,12345
146588263,infrastructure_50,edge13,edge,1024,4,2500,21.63694807,12345
146588263,infrastructure_50,edge14,edge,512,2,1500,18.3295458,12345
146588263,infrastructure_50,edge15,edge,512,2,1500,14.62841807,12345
146588263,infrastructure_50,edge16,edge,512,2,1500,14.06466861,12345
146588263,infrastructure_50,edge17,edge,1024,4,3000,20.70907176,12345
146588263,infrastructure_50,edge18,edge,1024,4,2500,21.02825516,12345
146588263,infrastructure_50,edge19,edge,1024,4,2500,23.1314427,12345
146588263,infrastructure_50,edge20,edge,512,2,1500,14.91031759,12345
146588263,infrastructure_50,edge21,edge,1024,4,2500,21.93330902,12345
146588263,infrastructure_50,edge22,edge,1024,4,2500,23.10635358,12345
146588263,infrastructure_50,edge23,edge,1024,4,3000,25.00709209,12345
146588263,infrastructure_50,edge24,edge,1024,4,3000,26.51825691,12345
146588263,infrastructure_50,edge25,edge,1024,4,2500,16.69890035,12345
146588263,infrastructure_50,edge26,edge,1024,4,2500,23.7960261,12345
146588263,infrastructure_50,edge27,edge,512,2,1500,15.29772744,12345
146588263,infrastructure_50,edge28,edge,1024,4,2500,16.6142923,12345
146588263,infrastructure_50,edge29,edge,512,2,1500,13.23803906,12345
