application,dataset_seed,infrastructure,task,candidate,provider,region,memory_mb,invocations,duration_ms,cost
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge1_orig_fe9a3a45,original,,,0,0,18.56494495
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge1_orig_8e256c43,original,,,0,0,18.56494495
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge1_orig_f8272d51,original,,,0,0,18.56494495
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge1_orig_01b78e0e,original,,,0,0,18.56494495
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge2_orig_d8717296,original,,,0,0,24.34919442
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge2_orig_ad650405,original,,,0,0,24.34919442
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge2_orig_b08ff038,original,,,0,0,24.34919442
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge2_orig_dba9b426,original,,,0,0,24.34919442
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge3_orig_0ac5b5e4,original,,,0,0,19.2499325
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge3_orig_ad940f20,original,,,0,0,19.2499325
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge3_orig_6a983c45,original,,,0,0,19.2499325
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge3_orig_2b7e7feb,original,,,0,0,19.2499325
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge5_orig_ef732947,original,,,0,0,28.91638017
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge5_orig_0b09700f,original,,,0,0,28.91638017
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge5_orig_59a8325a,original,,,0,0,28.91638017
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge5_orig_6634e90e,original,,,0,0,28.91638017
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge6_orig_20fd28f8,original,,,0,0,19.25135847
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge6_orig_68ec7668,original,,,0,0,19.25135847
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge6_orig_82674f9a,original,,,0,0,19.25135847
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge6_orig_a727b8b8,original,,,0,0,19.25135847
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge8_orig_9749835e,original,,,0,0,20.12252257
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge8_orig_76170cda,original,,,0,0,20.12252257
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge8_orig_e358b564,original,,,0,0,20.12252257
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge8_orig_a6d7a4aa,original,,,0,0,20.12252257
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge12_orig_8e39f239,original,,,0,0,20.9063996
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge12_orig_4f1fba23,original,,,0,0,20.9063996
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge12_orig_0c689c29,original,,,0,0,20.9063996
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge12_orig_f5a9f480,original,,,0,0,20.9063996
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge13_orig_50405b81,original,,,0,0,21.63694807
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge13_orig_bee4b2f5,original,,,0,0,21.63694807
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge13_orig_070b6cad,original,,,0,0,21.63694807
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge13_orig_df600f78,original,,,0,0,21.63694807
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge17_orig_14af0a1b,original,,,0,0,20.70907176
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge17_orig_a88de3bb,original,,,0,0,20.70907176
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge17_orig_bacdd514,original,,,0,0,20.70907176
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge17_orig_3fadf6df,original,,,0,0,20.70907176
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge18_orig_0f79a597,original,,,0,0,21.02825516
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge18_orig_3f72ecc5,original,,,0,0,21.02825516
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge18_orig_5d0df002,original,,,0,0,21.02825516
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge18_orig_d9eb1af4,original,,,0,0,21.02825516
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge19_orig_a943c223,original,,,0,0,23.1314427
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge19_orig_70a1266b,original,,,0,0,23.1314427
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge19_orig_82494b1d,original,,,0,0,23.1314427
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge19_orig_03aec471,original,,,0,0,23.1314427
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge21_orig_be70781a,original,,,0,0,21.93330902
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge21_orig_06eab048,original,,,0,0,21.93330902
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge21_orig_2ca73b32,original,,,0,0,21.93330902
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge21_orig_43a90d04,original,,,0,0,21.93330902
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge22_orig_50c79247,original,,,0,0,23.10635358
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge22_orig_31cbc4a7,original,,,0,0,23.10635358
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge22_orig_879195d1,original,,,0,0,23.10635358
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge22_orig_f0245414,original,,,0,0,23.10635358
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge23_orig_7432fe89,original,,,0,0,25.00709209
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge23_orig_f35e287e,original,,,0,0,25.00709209
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge23_orig_433fff76,original,,,0,0,25.00709209
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge23_orig_9a7f6730,original,,,0,0,25.00709209
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge24_orig_69daabaf,original,,,0,0,26.51825691
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge24_orig_7a21a1a7,original,,,0,0,26.51825691
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge24_orig_0b0e6cb3,original,,,0,0,26.51825691
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge24_orig_ce48b178,original,,,0,0,26.51825691
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge25_orig_755187c3,original,,,0,0,16.69890035
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge25_orig_3ec2263d,original,,,0,0,16.69890035
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge25_orig_49a9c8b0,original,,,0,0,16.69890035
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge25_orig_b05e207d,original,,,0,0,16.69890035
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge26_orig_4b742d04,original,,,0,0,23.7960261
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge26_orig_e08ce1d8,original,,,0,0,23.7960261
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge26_orig_9ed30a80,original,,,0,0,23.7960261
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge26_orig_cd3f3256,original,,,0,0,23.7960261
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge28_orig_d035d450,original,,,0,0,16.6142923
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge28_orig_e7bdd1fe,original,,,0,0,16.6142923
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge28_orig_6785ed3b,original,,,0,0,16.6142923
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge28_orig_014da0b5,original,,,0,0,16.6142923
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge31_orig_f7668b7d,original,,,0,0,26.75036973
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge31_orig_4bf24877,original,,,0,0,26.75036973
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge31_orig_a7ad90f8,original,,,0,0,26.75036973
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_edge31_orig_d1816663,original,,,0,0,26.75036973
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog3_orig_20573905,original,,,0,0,29.6955844
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog3_orig_e9ed114b,original,,,0,0,29.6955844
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog3_orig_0f8f1644,original,,,0,0,29.6955844
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog4_orig_fa844d3a,original,,,0,0,32.72267531
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog4_orig_81c01417,original,,,0,0,32.72267531
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog4_orig_7bde8257,original,,,0,0,32.72267531
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog4_orig_233f4a76,original,,,0,0,32.72267531
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog5_orig_58b3f6e2,original,,,0,0,24.5574795
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog5_orig_41129826,original,,,0,0,24.5574795
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog5_orig_280c83e9,original,,,0,0,24.5574795
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog6_orig_033eb543,original,,,0,0,25.00677809
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog6_orig_4c00f10b,original,,,0,0,25.00677809
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog6_orig_9de65ef4,original,,,0,0,25.00677809
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog6_orig_b91c509c,original,,,0,0,25.00677809
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog7_orig_3076731f,original,,,0,0,28.68903229
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog7_orig_b8ca3835,original,,,0,0,28.68903229
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog7_orig_7545cc3e,original,,,0,0,28.68903229
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog8_orig_8c28e595,original,,,0,0,32.03485725
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog8_orig_1ab0db88,original,,,0,0,32.03485725
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog8_orig_4f922237,original,,,0,0,32.03485725
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog8_orig_4ef26198,original,,,0,0,32.03485725
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog9_orig_652184c4,original,,,0,0,25.43441788
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog9_orig_00533ef0,original,,,0,0,25.43441788
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog9_orig_cd627eff,original,,,0,0,25.43441788
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog9_orig_5769bd09,original,,,0,0,25.43441788
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog10_orig_79705595,original,,,0,0,36.0679313
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog10_orig_f8bd653e,original,,,0,0,36.0679313
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog10_orig_d3a03ce3,original,,,0,0,36.0679313
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog10_orig_d1da3fa2,original,,,0,0,36.0679313
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog11_orig_47335e97,original,,,0,0,58.58999931
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog11_orig_1632884e,original,,,0,0,58.58999931
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog11_orig_b38788d5,original,,,0,0,58.58999931
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog13_orig_411a6ab6,original,,,0,0,30.29293613
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog13_orig_f81f03a5,original,,,0,0,30.29293613
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog13_orig_1799b4fa,original,,,0,0,30.29293613
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog13_orig_eceeb301,original,,,0,0,30.29293613
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog14_orig_5b7b7be5,original,,,0,0,27.90057903
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog14_orig_48453eeb,original,,,0,0,27.90057903
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog14_orig_654d2233,original,,,0,0,27.90057903
arOrch,146588263,infrastructure_50,fLogin,cand_fLogin_fog14_orig_ce3f4b7b,original,,,0,0,27.90057903
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_fog1_orig_6c76a9bd,original,,,0,0,76.22292978
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_fog2_orig_856c626d,original,,,0,0,35.57114344
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_fog12_orig_fe441e3f,original,,,0,0,66.83536108
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_fog15_orig_f38af784,original,,,0,0,82.55854999
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_fog16_orig_28d9ca0b,original,,,0,0,58.22121925
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_cloud1_orig_276f0112,original,,,0,0,1.06063389
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_cloud2_orig_8ea9647f,original,,,0,0,1.37455637
arOrch,146588263,infrastructure_50,fCrop,cand_fCrop_cloud3_orig_07636002,original,,,0,0,0.31711059
