application,task,context_label,input_label,required_label,threshold
arOrch,fLogin,low,top,top,1.0
arOrch,fDCC,low,top,top,1.0
arOrch,fCheckDCC,top,top,top,1.0
arOrch,fRules,top,top,top,1.0
arOrch,fCrop,low,medium,medium,0.66
arOrch,fGeo,low,medium,medium,0.66
arOrch,fAR,low,top,top,1.0
mediaOrch,fDocAnalysis,low,top,top,1.0
mediaOrch,fProcDoc,low,top,top,1.0
mediaOrch,fPayAppr,low,medium,medium,0.66
mediaOrch,fNotify,medium,medium,medium,0.66
mediaOrch,fArchive,medium,medium,medium,0.66
stockOrch,fCheck,low,top,top,1.0
stockOrch,fBuyOrSell,low,medium,medium,0.66
stockOrch,fSell,medium,medium,medium,0.66
stockOrch,fBuy,medium,medium,medium,0.66
stockOrch,fRecord,low,low,low,0.33
