instance_id,application,infra_size,dataset_seed,n_tasks,n_candidates,n_pools,n_features,n_constraints_local,n_constraints_global,n_constraints_dependency,n_resource_capacity,n_transitions,n_budget_constraints,log10_binding_space,global_budget
arOrch_146588263_infrastructure_100,arOrch,100,146588263,7,825,106,30,18,1,0,2,10,8,13.726,185.0351886
arOrch_146588263_infrastructure_105,arOrch,105,146588263,7,833,111,30,18,1,0,2,11,8,13.729,180.11740808
arOrch_146588263_infrastructure_110,arOrch,110,146588263,7,1170,116,35,18,1,0,2,13,8,14.224,185.06649873
arOrch_146588263_infrastructure_115,arOrch,115,146588263,7,1033,121,32,18,1,0,2,12,8,14.371,202.41699519
arOrch_146588263_infrastructure_120,arOrch,120,146588263,7,1272,126,33,18,1,0,2,14,8,14.521,171.33168261
arOrch_146588263_infrastructure_125,arOrch,125,146588263,7,1263,131,31,18,1,0,2,14,8,14.413,188.92590806
arOrch_146588263_infrastructure_130,arOrch,130,146588263,7,1095,136,29,18,1,0,2,12,8,14.276,188.78306546
arOrch_146588263_infrastructure_135,arOrch,135,146588263,7,1296,141,35,18,1,0,2,18,8,14.576,170.10534468
arOrch_146588263_infrastructure_140,arOrch,140,146588263,7,1253,146,35,18,1,0,2,16,8,14.741,171.92201532
arOrch_146588263_infrastructure_145,arOrch,145,146588263,7,1244,151,33,18,1,0,2,11,8,14.777,177.44032634
arOrch_146588263_infrastructure_150,arOrch,150,146588263,7,1501,156,32,18,1,0,2,15,8,14.904,175.63510324
arOrch_146588263_infrastructure_155,arOrch,155,146588263,7,1706,161,36,18,1,0,2,13,8,15.321,183.45008225
arOrch_146588263_infrastructure_160,arOrch,160,146588263,7,1406,166,32,18,1,0,2,19,8,15.129,178.17675804
arOrch_146588263_infrastructure_165,arOrch,165,146588263,7,1486,171,31,18,1,0,2,25,8,15.109,218.15425757
arOrch_146588263_infrastructure_170,arOrch,170,146588263,7,1696,176,32,18,1,0,2,17,8,15.396,198.12985272
arOrch_146588263_infrastructure_175,arOrch,175,146588263,7,1913,181,34,18,1,0,2,13,8,15.376,188.45295351
arOrch_146588263_infrastructure_180,arOrch,180,146588263,7,1306,186,29,18,1,0,2,20,8,15.066,181.30206395
arOrch_146588263_infrastructure_185,arOrch,185,146588263,7,1696,191,32,18,1,0,2,22,8,15.565,176.18655313
arOrch_146588263_infrastructure_190,arOrch,190,146588263,7,1856,196,35,18,1,0,2,18,8,15.595,187.10289697
arOrch_146588263_infrastructure_195,arOrch,195,146588263,7,1681,201,31,18,1,0,2,15,8,15.496,171.47875717
arOrch_146588263_infrastructure_200,arOrch,200,146588263,7,2289,206,34,18,1,0,2,15,8,15.951,169.8382029
arOrch_146588263_infrastructure_205,arOrch,205,146588263,7,2314,211,37,18,1,0,2,18,8,16.237,171.9293364
arOrch_146588263_infrastructure_210,arOrch,210,146588263,7,1614,216,28,18,1,0,2,16,8,15.608,183.49435347
arOrch_146588263_infrastructure_215,arOrch,215,146588263,7,2139,221,36,18,1,0,2,19,8,16.066,183.21214321
arOrch_146588263_infrastructure_220,arOrch,220,146588263,7,1738,226,31,18,1,0,2,17,8,15.736,189.68700664
arOrch_146588263_infrastructure_50,arOrch,50,146588263,7,564,56,35,18,1,0,2,9,8,12.476,209.69321513
arOrch_146588263_infrastructure_55,arOrch,55,146588263,7,584,61,32,18,1,0,2,10,8,12.504,184.87596402
arOrch_146588263_infrastructure_60,arOrch,60,146588263,7,638,66,33,18,1,0,2,11,8,12.834,171.94941646
