run_id,application,infra_size,dataset_seed,instance_id,engine,seed,options,status,feasibility,feasible,objective_value,engine_objective_value,oracle_match,cost,latency,security,engine_execution_time_ms,engine_evaluations,wall_time_s,solver_status,n_tasks,n_candidates,error
arOrch_146588263_infrastructure_100|minizinc-csp,arOrch,100,146588263,arOrch_146588263_infrastructure_100,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.136686308562236,True,149.828787245,32.0,1.0,36561.0,,41.173,OPTIMAL,7,825,
arOrch_146588263_infrastructure_105|minizinc-csp,arOrch,105,146588263,arOrch_146588263_infrastructure_105,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.11052860925188772,0.110528609251888,True,146.820720525,33.0,1.0,39992.0,,45.455,OPTIMAL,7,833,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed1,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,1,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 1, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.1366863085622358,True,149.828787245,32.0,1.0,300030.0,1814440,304.07,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed1,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,1,"{""iterations_count"": 1000, ""seed"": 1, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.33458540600240033,0.33458540600240033,True,177.52945264,37.0,0.66,300033.0,1644844,311.381,,7,825,
arOrch_146588263_infrastructure_110|minizinc-csp,arOrch,110,146588263,arOrch_146588263_infrastructure_110,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.29821141172400595,0.298211411724006,True,184.949095275,37.5,0.66,302147.0,,310.604,SATISFIED,7,1170,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed2,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,2,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 2, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.1366863085622358,True,149.828787245,32.0,1.0,299840.0,1480606,303.63,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed2,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,2,"{""iterations_count"": 1000, ""seed"": 2, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.15976675760421635,0.15976675760421635,True,170.71980466500003,36.0,1.0,299850.0,1391512,304.727,,7,825,
arOrch_146588263_infrastructure_115|minizinc-csp,arOrch,115,146588263,arOrch_146588263_infrastructure_115,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.15587024030740854,0.155870240307409,True,178.33204649500001,38.0,1.0,266437.0,,271.317,OPTIMAL,7,1033,
arOrch_146588263_infrastructure_120|minizinc-csp,arOrch,120,146588263,arOrch_146588263_infrastructure_120,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.0926580548120461,0.0926580548120461,True,136.54168989,35.0,1.0,146827.0,,154.641,OPTIMAL,7,1272,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed3,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,3,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 3, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.1366863085622358,True,149.828787245,32.0,1.0,299993.0,1515254,304.877,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed3,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,3,"{""iterations_count"": 1000, ""seed"": 3, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.3269156530318478,0.3269156530318478,True,170.40580694000002,36.0,0.66,299994.0,1445704,304.804,,7,825,
arOrch_146588263_infrastructure_125|minizinc-csp,arOrch,125,146588263,arOrch_146588263_infrastructure_125,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.11572825250980437,0.115728252509805,True,161.881813655,32.0,1.0,261962.0,,270.619,OPTIMAL,7,1263,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed4,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,4,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 4, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.13760615895147477,0.13760615895147477,True,145.23767643500003,42.0,1.0,299992.0,1363649,304.667,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed4,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,4,"{""iterations_count"": 1000, ""seed"": 4, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.16052109158316064,0.16052109158316064,True,166.514225155,45.0,1.0,299993.0,1275750,305.112,,7,825,
arOrch_146588263_infrastructure_130|minizinc-csp,arOrch,130,146588263,arOrch_146588263_infrastructure_130,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.11684043493206184,0.116840434932062,True,150.51907902,35.0,1.0,232661.0,,242.188,OPTIMAL,7,1095,
arOrch_146588263_infrastructure_135|minizinc-csp,arOrch,135,146588263,arOrch_146588263_infrastructure_135,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.0990672618759715,0.0990672618759715,True,141.02650837,36.0,1.0,125836.0,,134.291,OPTIMAL,7,1296,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed5,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,5,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 5, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.1366863085622358,True,149.828787245,32.0,1.0,300053.0,1844089,304.194,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed5,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,5,"{""iterations_count"": 1000, ""seed"": 5, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.16642506311600774,0.16642506311600774,True,179.31154207,32.5,1.0,300054.0,1759787,304.356,,7,825,
arOrch_146588263_infrastructure_140|minizinc-csp,arOrch,140,146588263,arOrch_146588263_infrastructure_140,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.09901339892845809,0.0990133989284581,True,140.28210529499998,32.0,1.0,268732.0,,275.925,OPTIMAL,7,1253,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed6,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,6,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 6, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.1366863085622358,True,149.828787245,32.0,1.0,300003.0,1655175,305.405,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed6,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,6,"{""iterations_count"": 1000, ""seed"": 6, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.3117516228386259,0.3117516228386259,True,153.57832341999998,39.0,0.66,300003.0,1553304,304.564,,7,825,
arOrch_146588263_infrastructure_145|minizinc-csp,arOrch,145,146588263,arOrch_146588263_infrastructure_145,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.0982032491400146,0.0982032491400147,True,141.62574837,30.5,1.0,218856.0,,230.153,OPTIMAL,7,1244,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed7,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,7,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 7, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1366863085622358,0.1366863085622358,True,149.828787245,32.0,1.0,300004.0,1683373,304.591,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed7,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,7,"{""iterations_count"": 1000, ""seed"": 7, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.17366406340987725,0.17366406340987725,True,182.42163309499998,40.0,1.0,300005.0,1605336,305.154,,7,825,
arOrch_146588263_infrastructure_150|minizinc-csp,arOrch,150,146588263,arOrch_146588263_infrastructure_150,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.12729560426880226,0.127295604268803,True,152.66841576500002,31.5,1.0,301593.0,,309.235,SATISFIED,7,1501,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed8,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,8,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 8, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.13760615895147477,0.13760615895147477,True,145.23767643500003,42.0,1.0,300039.0,1869735,304.166,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed8,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,8,"{""iterations_count"": 1000, ""seed"": 8, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1712072817896746,0.1712072817896746,True,181.61670408,37.0,1.0,300041.0,1769843,305.64,,7,825,
arOrch_146588263_infrastructure_155|minizinc-csp,arOrch,155,146588263,arOrch_146588263_infrastructure_155,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.12964996207073987,0.12964996207074,True,176.69886437000002,43.0,1.0,301792.0,,313.175,SATISFIED,7,1706,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed9,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,9,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 9, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.13760615895147477,0.13760615895147477,True,145.23767643500003,42.0,1.0,300009.0,2040622,303.391,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed9,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,9,"{""iterations_count"": 1000, ""seed"": 9, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.16589057249702321,0.16589057249702321,True,173.81628946,41.5,1.0,300009.0,1905524,303.284,,7,825,
arOrch_146588263_infrastructure_160|minizinc-csp,arOrch,160,146588263,arOrch_146588263_infrastructure_160,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.1338849453860339,0.133884945386034,True,146.29710588999998,38.0,1.0,301405.0,,307.827,SATISFIED,7,1406,
arOrch_146588263_infrastructure_100|evolutionary-heuristics#seed10,arOrch,100,146588263,arOrch_146588263_infrastructure_100,evolutionary-heuristics,10,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 10, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.13760615895147477,0.13760615895147477,True,145.23767643500003,42.0,1.0,300009.0,1897416,303.627,,7,825,
arOrch_146588263_infrastructure_100|random-search#seed10,arOrch,100,146588263,arOrch_146588263_infrastructure_100,random-search,10,"{""iterations_count"": 1000, ""seed"": 10, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.16817969918336523,0.16817969918336523,True,176.38250154,41.0,1.0,300010.0,1767822,303.624,,7,825,
arOrch_146588263_infrastructure_165|minizinc-csp,arOrch,165,146588263,arOrch_146588263_infrastructure_165,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.15381238212623355,0.153812382126234,True,213.788814795,33.5,1.0,301772.0,,309.183,SATISFIED,7,1486,
arOrch_146588263_infrastructure_105|evolutionary-heuristics#seed1,arOrch,105,146588263,arOrch_146588263_infrastructure_105,evolutionary-heuristics,1,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 1, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.11052860925188772,0.11052860925188772,True,146.820720525,33.0,1.0,300010.0,1898761,304.261,,7,833,
arOrch_146588263_infrastructure_105|random-search#seed1,arOrch,105,146588263,arOrch_146588263_infrastructure_105,random-search,1,"{""iterations_count"": 1000, ""seed"": 1, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.13070204696442778,0.13070204696442778,True,166.74077849,42.0,1.0,300011.0,1790775,303.874,,7,833,
arOrch_146588263_infrastructure_170|minizinc-csp,arOrch,170,146588263,arOrch_146588263_infrastructure_170,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.13767107751944943,0.13767107751945,True,196.484209125,36.0,1.0,301652.0,,309.518,SATISFIED,7,1696,
arOrch_146588263_infrastructure_105|evolutionary-heuristics#seed2,arOrch,105,146588263,arOrch_146588263_infrastructure_105,evolutionary-heuristics,2,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 2, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.11052860925188772,0.11052860925188772,True,146.820720525,33.0,1.0,300009.0,2194910,303.305,,7,833,
arOrch_146588263_infrastructure_105|random-search#seed2,arOrch,105,146588263,arOrch_146588263_infrastructure_105,random-search,2,"{""iterations_count"": 1000, ""seed"": 2, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.1352690120723133,0.1352690120723133,True,174.901989995,39.0,1.0,300010.0,2083614,303.169,,7,833,
arOrch_146588263_infrastructure_175|minizinc-csp,arOrch,175,146588263,arOrch_146588263_infrastructure_175,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.1289534242984934,0.128953424298494,True,154.36434132,32.0,1.0,301808.0,,311.296,SATISFIED,7,1913,
arOrch_146588263_infrastructure_105|evolutionary-heuristics#seed3,arOrch,105,146588263,arOrch_146588263_infrastructure_105,evolutionary-heuristics,3,"{""algorithm"": ""NSGAII"", ""max_evaluations"": 1000, ""operators"": ""UNIFORM"", ""population_size"": 20, ""seed"": 3, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.11052860925188772,0.11052860925188772,True,146.820720525,33.0,1.0,300009.0,2196812,303.133,,7,833,
arOrch_146588263_infrastructure_105|random-search#seed3,arOrch,105,146588263,arOrch_146588263_infrastructure_105,random-search,3,"{""iterations_count"": 1000, ""seed"": 3, ""time_budget_ms"": 300000}",ok,FEASIBLE,True,0.13967778610035242,0.13967778610035242,True,178.50649975000002,42.0,1.0,300009.0,2117387,303.088,,7,833,
arOrch_146588263_infrastructure_180|minizinc-csp,arOrch,180,146588263,arOrch_146588263_infrastructure_180,minizinc-csp,,"{""intermediate_solutions"": true, ""time_limit_ms"": 300000}",ok,FEASIBLE,True,0.11105437748444974,0.11105437748445,True,142.78137842499999,39.0,1.0,300978.0,,306.92,SATISFIED,7,1306,
